Категория;Тип товара;Модель;Габариты;Цвет;Материал;Особенности;Стиль/Назначение;Цена (₽);ID
Гостиная;Кресло Lounge;Палаццо;-;пыльно-розовый;велюр/металл;классическое, с подушкой, ножки золото;классика;34800;s506_
Декор;Картина;Орхидея;50×70 см;-;холст/багет;ботанический принт, багет золото;-;4200;s507_
Спальня;Кровать;Тюльпан;90×200 см;салат;велюр/ЛДСП;односпальная, изголовье-цветок;-;21700;s508_
Ванная;Тумба под раковину;-;100×45 см;серый шёлк;МДФ;подвесная, серия Стандарт;-;17400;s509_
Кабинет;Кресло компьютерное;Бергамо;-;зелёная;сетка/металл;поясничный упор, газлифт класс 4;-;14900;s510_
Декор;Ваза;Афина;70 см;белый кракелюр/золото;керамика;напольная;классика;7400;s511_
Кабинет;Кресло компьютерное;Бергамо;-;чёрная;сетка/металл;поясничный упор, газлифт класс 4;-;14900;s512_
Освещение;Торшер;Венеция;165 см;серый;металл/ткань;напольный, тканевый абажур;-;7800;s513_
Спальня;Кровать;Меридиан;140×200 см;терракот;велюр/дерево;реечное основание;-;31700;s514_
Балкон;Комплект балконный;Терраса;-;-;металл/тик;стол + 2 стула, складной;-;9700;s515_
Детская;Кровать двухъярусная;Дуэт;80×190 см;белый/розовый;ЛДСП/металл;с лестницей и ящиками;детский;28700;s516_
Детская;Кровать-чердак;Авангард;90×200 см;графит/дуб;ЛДСП/металл;с гардеробной и лестницей-комодом;детский;38900;s517_
Кухня;Стол обеденный;Венеция;D110 см;-;мрамор/бронза;круглый;-;47900;s518_
Ванная;Тумба под раковину;Адриатика;80×45×55 см;белый/дерево;МДФ/дерево;с двумя ящиками;-;14400;s519_
Прихожая;Зеркало;Берлин;60×120 см;дуб сонома;ЛДСП/стекло;в прихожую, с полкой и крючками;-;5400;s520_
Освещение;Гирлянда уличная;Метелица;10 м;холодный белый;LED;IP44;-;2700;s521_
Прихожая;Зеркало напольное;Полярная;D80 см;белый;металл/стекло;круглое, в раме;-;11700;s522_
Гостиная;Кресло Lounge;Камея;-;-;гобелен/дерево;с подлокотниками, ножки массив;классика;31700;s523_
Текстиль;Шторы;Кокон;2×150×270 см;молочный;лён;льняные;-;7800;s524_
Прихожая;Прихожая мини;Эконом;100×30×190 см;венге;ЛДСП/зеркало;с зеркалом;эконом;9800;s525_
Декор;Шкатулка;Венеция;25×18×12 см;бордо/золото;бархат/зеркало;бархат с зеркалом;-;3700;s526_
Хозтовары;Ящик поделочный;Натура;40×28×22 см;-;дуб массив;без отделки;-;3700;s527_
Балкон;Шкаф;Терраса;60×35×180 см;белый;ЛДСП;балконный, 2 секции с полками;-;9800;s528_
Декор;Картина;Прованс;60×80 см;-;холст/дерево;Лавандовое поле, багет белёный;классика;6700;s529_
Офис;Стойка ресепшен;Модерн;200×70×110 см;белый глянец/чёрный матовый;ЛДСП/МДФ;минимализм;-;124800;s530_
Прихожая;Обувница;Дания;100×35×50 см;серая;рогожка/ЛДСП;с сиденьем, ящик под обувь;-;8400;s531_
Детская;Кровать-чердак;Школьник;80×190 см;дуб сонома/венге;ЛДСП/металл;с рабочей зоной;детский;23900;s532_
Ванная;Шкаф-пенал;Сиена;40×30×180 см;белый глянец;МДФ;ванный, 2 дверцы и полки;-;11700;s533_
Гостиная;Банкетка;Глория;100×40×45 см;беж;рогожка/ЛДСП;с местом хранения;-;7400;s534_
Освещение;Лампа настольная;Прага;-;бежевый;металл/ткань;классическая, тканевый абажур;классика;3700;s535_
Спальня;Кровать;Виктория;160×200 см;изумрудный;бархат/ЛДСП;подъёмный механизм, изголовье капитоне;-;52900;s536_
Освещение;Светильник напольный;Прованс;165 см;белая патина;металл/ткань;торшер, абажур плиссе;классика;9400;s537_
Декор;Ваза;Афродита;90 см;состаренная бронза;керамика;напольная, амфора;классика;9800;s538_
Гостиница;Зеркало;-;60×120 см;-;стекло/МДФ;настенное, с фацетом, для отеля;гостиничный;5800;s539_
Кабинет;Шкаф книжный;Модерн;90×90×210 см;дуб артизан/графит;ЛДСП;угловой;-;38900;s540_
Гостиная;Сервант-витрина;Версаль;100×40×190 см;орех/стекло;дерево/стекло;классика;классика;36400;s541_
Гостиная;Шкаф-витрина;Лион;120×40×210 см;орех тёмный;дерево/стекло/зеркало;с зеркальной задней стенкой;-;48900;s542_
Кухня;Шкаф верхний;-;60×30×72 см;белый матовый;ЛДСП/стекло;кухонный, с витринным стеклом;-;7900;s543_
Текстиль;Подушка декоративная;Барселона;45×45 см;-;лён;геометрический принт;-;1300;s544_
Декор;Статуэтка;Венеция;35 см;золото;керамика;олень;-;3400;s545_
Освещение;Бра настольное;Тюльпан;-;-;латунь/стекло/LED;2 шт, LED, опал;-;3800;s546_
Прихожая;Обувница;Эконом;80×20×100 см;дуб молочный;ЛДСП;откидная;эконом;3400;s547_
Гостиная;Журнальный столик;Палаццо;110×60 см;-;мрамор/латунь;прямоугольный;-;38700;s548_
Кабинет;Стол письменный;Школьник;120×60 см;белый;ЛДСП;-;-;6800;s549_
Спальня;Тумба прикроватная;Аметист;50×40×60 см;белый/золото;МДФ;с патиной;-;13700;s550_
Гостиная;Стеллаж навесной;Орбита;100×25×60 см;дуб артизан;ЛДСП;в гостиную;-;3200;s551_
Декор;Ваза;Артемида;60 см;дымчатый серый;стекло выдувное;напольная, дизайнерская;-;6400;s552_
Прихожая;Обувница;Кокон;-;белая;ЛДСП/МДФ;4-секционная;-;4900;s553_
Гостиная;Кресло-мешок;Облако;140×100 см;графит;водоотталкивающая ткань;XXL;-;6700;s554_
Гостиная;Диван прямой;Гамма;220×95 см;серый;велюр/шенилл/рогожка;еврокнижка;-;42700;s555_
Детская;Шкаф;Эверест;160×55×210 см;графит/оранжевый;ЛДСП;для подростка, 4-дверный;детский;28700;s556_
Текстиль;Ковёр;Венеция;160×230 см;терракот;шерсть;узор медальон;-;22500;s557_
Кухня;Стол обеденный;Лофт;140×80 см;графит;дерево/металл;металлические ноги;лофт;16400;s558_
Спальня;Комод;Карина;80×40×110 см;венге;ЛДСП;5 ящиков;-;11200;s559_
Кухня;Модуль кухонный;Бергамо;60×60 см;белый матовый;ЛДСП/фурнитура;нижний, soft-close;-;9400;s560_
Декор;Часы настенные;Версаль;60×30 см;-;дерево/металл;с маятником;классика;5700;s561_
Декор;Шкатулка;Камелия;26×18×10 см;-;бархат/металл;бархат внутри, золотой ободок;-;3200;s562_
Декор;Подсвечник;Венеция;20×20×40 см;-;латунь/стекло;стеклянный фонарь;-;3200;s563_
Гостиная;Кресло традиционное;-;-;-;гобелен/дерево;флористика, ножки массив;-;26800;s564_
Прихожая;Зеркало напольное;Контур;D100 см;чёрный;металл/стекло;круглое, в раме;-;13700;s565_
Балкон;Табурет складной;-;30×30×45 см;-;бамбук;для балкона;-;1300;s566_
Ванная;Тумба под умывальник;Венето;70×45×85 см;дуб артизан/белый глянец;МДФ/дерево;напольная, с одной дверцей;-;13900;s567_
Прихожая;Зеркало;Камея;70×100 см;золото с патиной;дерево/стекло;настенное, барочное;классика;9400;s568_
Спальня;Кровать;Орхидея;160×200 см;дуб сонома;ЛДСП;подъёмный механизм;-;27500;s569_
Декор;Ваза;-;50 см;прозрачное;стекло;амфора, серия Лайт;-;2800;s570_
Спальня;Шкаф-купе;Лофт;100×100×220 см;графит/зеркало;ЛДСП/стекло;угловой;лофт;45700;s571_
Спальня;Шкаф-купе;Берлин;320×60×220 см;дуб сонома;ЛДСП/зеркало;4-дверный, с зеркалом;-;58400;s572_
Спальня;Комод;Стелла;90×40×95 см;ясень шимо;ЛДСП;3 ящика, распашная дверца;-;14600;s573_
Прихожая;Шкаф узкий;Альпы;45×30×200 см;белый матовый;ЛДСП/зеркало;1 дверь с зеркалом;-;12400;s574_
Ванная;Полотенцесушитель;Лазурь;50×80 см;-;латунь;декоративный, лесенка;-;7400;s575_
Гостиная;Диван-кровать;Айова;200×95 см;горчичная;рогожка/ЛДСП;еврокнижка;-;37400;s576_
Туризм;Стул складной;Турист;-;-;ткань/металл;мягкий, с подлокотниками, для дачи;-;2400;s577_
Гостиная;Шкаф книжный;Кембридж;200×40×220 см;орех;дерево/стекло;библиотечный, со стеклом;классика;98400;s578_
Спальня;Тумба прикроватная;Камелия;50×40×55 см;розовая пудра;МДФ;с одним ящиком;-;5200;s579_
Кухня;Шкафчик барный;Тоскана;70×25×70 см;орех патина;дерево/стекло;подвесной;классика;7800;s580_
Прихожая;Зеркало напольное;Версаль;60×180 см;золото с патиной;дерево/стекло;в багетной раме;классика;14700;s581_
Гостиная;Кресло-реклайнер;Адмирал;-;коричневая;натуральная кожа/металл;с подогревом;-;87400;s582_
Гостиная;Полка навесная;Орбита;80×25 см;дуб артизан;ЛДСП;-;-;1900;s583_
Детская;Кровать-чердак;Аметист;90×200 см;графит/жёлтый;ЛДСП/металл/LED;с подсветкой и USB;детский;39700;s584_
Прихожая;Зеркало напольное;Парус;50×170 см;венге;дерево/стекло;в раме;-;9700;s585_
Гостиная;Тумба под ТВ;Лофт;140 см;венге;ЛДСП/металл;металлический каркас;лофт;11800;s586_
Гостиная;Диван-канапе;Барселона;2-местный;графит;велюр/дерево;классический, ножки гнутые;классика;52800;s587_
Ванная;Набор для ванной;Венето;-;белая/латунь;керамика/латунь;стакан и дозатор, 4 предмета;-;2700;s588_
Освещение;Светильник потолочный;-;-;чёрный;металл;4 спота, поворотные;-;3700;s589_
Прихожая;Зеркало напольное;Орбита;D90 см;-;металл латунь/стекло;круглое, рама матовая;-;16400;s590_
Гостиная;Кресло-реклайнер;Орхидея;-;изумрудный;велюр/дуб/ясень/рогожка;с регулировкой и подножкой;-;38400;s591_
Гостиная;Витрина-горка;Орхидея;120×45×220 см;-;дерево/стекло;классика, патина с золотом;классика;94600;s592_
Прихожая;Вешалка;Берлин;80×190 см;дуб сонома;ЛДСП/зеркало;с зеркалом и обувницей;-;13800;s593_
Детская;Кровать;Феникс;90×200 см;оранжевый/графит;ЛДСП;односпальная, для подростка;детский;18700;s594_
Спальня;Шкаф;Венеция;150×55×210 см;бук бавария;ЛДСП;3-створчатый, распашной;-;38600;s595_
Декор;Часы настенные;Камея;D40 см;-;металл;круглые, римские цифры;-;2300;s596_
Прихожая;Ключница;Норвегия;30×7×35 см;белый матовый;МДФ/зеркало;закрытая, с зеркалом и 6 крючками;-;2400;s597_
Гостиная;Комод-консоль;Венеция;120×35×80 см;орех;дерево;классика;классика;18900;s598_
Спальня;Кровать;Бостон;140×200 см;коричневая;экокожа/ЛДСП;с прострочкой;-;28700;s599_
Освещение;Светильник настенный;Минск;-;графит/опал;металл/стекло;бра 1-рожковый;-;3200;s600_
Ванная;Зеркало;Адриатика;80×60 см;-;стекло/LED/металл;для ванной, сенсор, антипар;-;9700;s601_
Гостиная;Стол консольный;Палермо;100×30×80 см;-;мрамор/бронза;мрамор/металл бронза;-;12900;s602_
Гостиная;Журнальный стол;Манхэттен;100×60×45 см;дуб артизан/чёрный;ЛДСП/металл;-;-;9700;s603_
Гостиная;Пуф;-;40×40 см;белая;экокожа/ЛДСП;с откидной крышкой, хранение;-;3800;s604_
Освещение;Бра-софит;Орбита;-;белый матовый;металл/LED;направленный LED, поворотный;-;2400;s605_
Спальня;Шкаф;Самара;90×55×210 см;дуб сонома;ЛДСП/зеркало;2-створчатый, с зеркалом;-;19400;s606_
Текстиль;Ковёр;-;200×290 см;бежевый;шерсть;классический;-;28700;s607_
Ванная;Шкаф пенал;-;30×25×170 см;белый глянец;МДФ;узкий, открытые полки;-;5900;s608_
Освещение;Бра;Тюльпан;-;-;медь/стекло;серия, 2 шт в комплекте;-;5700;s609_
Офис;Стойка ресепшен;Гранд;240×80×110 см;-;шпон ореха/латунь;классика, латунная отделка;классика;187400;s610_
Спальня;Гардеробная система;Конструктор;240×50×220 см;дуб артизан;ЛДСП/металл;модульная;-;38900;s611_
Декор;Картина;Глория;80×100 см;-;холст/багет;Поле маков;-;5600;s612_
Освещение;Светильник подвесной;Эдисон;-;медь;металл;3 лампы на цепи;лофт;4800;s613_
Кухня;Стол кухонный;-;90×60 см;белый;ЛДСП/металл;складной, эконом;эконом;5400;s614_
Прихожая;Банкетка;Норвегия;90×35×45 см;белая;экокожа/ЛДСП;в прихожую, с откидным сиденьем;-;6900;s615_
Декор;Постер;Лофт;40×50 см;чёрный;бумага/дерево;графический принт, в раме;-;1400;s616_
Текстиль;Шторы;Камея;2×150×270 см;бордо;бархат;готовые, с подхватами;-;9400;s617_
Спальня;Туалетный столик;Венеция;-;-;бук бавария;классический, с пуфом;классика;22500;s618_
Кухня;Стул барный;Лион;-;натуральный;массив бука;сиденье круглое D35, лак;-;4500;s619_
Текстиль;Подушка декоративная;Венеция;45×45 см;изумрудный;бархат;-;-;1400;s620_
Гостиная;Кресло Lounge;Палаццо;-;сапфировый;велюр/металл;с подушкой-валиком;-;31700;s621_
Гостиница;Гарнитур гостиничный;Премиум;160×200 см;-;дерево/ЛДСП;кровать + 2 тумбы + комод;гостиничный;87900;s622_
Ванная;Стеллаж навесной;Капри;60×20×80 см;-;бамбук/металл;для ванной;-;3700;s623_
Гостиная;Диван модульный;Дакота;4-секционный;беж;велюр/ЛДСП;секционный;-;78900;s624_
Гостиная;Шкаф книжный;Венеция;100×40×200 см;орех;дерево/стекло;со стеклянными дверцами;-;28700;s625_
Гостиная;Стеллаж-перегородка;Сканди;100×30×200 см;ясень светлый;ЛДСП/дерево;двусторонний, 5 полок;скандинавский;9700;s626_
Спальня;Кровать;Лагуна;140×200 см;белая;экокожа/ЛДСП;подъёмный механизм;-;33700;s627_
Ванная;Тумба под умывальник;Лагуна;120×45×55 см;белый глянец/серый;МДФ;двойная;-;32700;s628_
Декор;Фоторамка;Прованс;20×30 см;белая с патиной;дерево/МДФ;одинарная;классика;890;s629_
Спальня;Кровать;Орлеан;180×200 см;орех патина;дерево/ЛДСП;с тумбами в изголовье, бра в комплекте;классика;72800;s630_
Декор;Корзина-органайзер;Флоренция;40×25×20 см;-;джут;плетёная, с ручками;-;1800;s631_
Спальня;Кровать водяная;Камелия;160×200 см;пыльно-розовая;экокожа/ЛДСП;с подогревом;-;82900;s632_
Прихожая;Зеркало;Барокко;60×90 см;золочёный;дерево/стекло;настенное, рама с лепниной;классика;14700;s633_
Прихожая;Прихожая модульная;Атриум;220×35×210 см;дуб сонома/графит;ЛДСП;-;-;36800;s634_
Гостиная;Кресло-бергер;Шартрез;-;коньячная;кожа/дерево;с пуфом, ножки массив;классика;68900;s635_
Кухня;Стол кухонный;-;120×70 см;дуб сонома;ЛДСП/металл;регулируемые ножки;-;7400;s636_
Освещение;Гирлянда интерьерная;Метелица;5 м;тёплый белый;LED;USB;-;1300;s637_
Гостиная;Журнальный столик;Тоскана;120×60 см;-;дуб состаренный;овальный, из массива;-;28900;s638_
Спальня;Кровать;Прага;180×200 см;-;экокожа/ЛДСП;двуспальная, ортопедическое основание;-;42400;s639_
Гостиная;Кресло Lounge;Прованс;-;цветочный принт;ткань/дерево;состаренный, с подушкой, ножки гнутые;классика;31400;s640_
Гостиная;Кресло-кокон;Эверест;-;белый;искусственный ротанг/металл;подвесное, с подушкой;-;19800;s641_
Освещение;Люстра потолочная;Венеция;-;-;хрусталь/металл;5-рожковая;классика;14800;s642_
Декор;Постер;-;30×40 см;-;бумага/дерево;типографика Hej, комплект 3 шт;-;2400;s643_
Спальня;Шкаф распашной;Классик;200×60×220 см;орех итальянский;ЛДСП;4-дверный;классика;52300;s644_
Текстиль;Шторы;Берлин;2×145×260 см;песочный;лён;готовые;-;6900;s645_
Спальня;Кровать-татами;Киото;160×200 см;ясень светлый;дерево;низкая, на ножках;японский;41800;s646_
Декор;Шкатулка;Малахит;25×18×12 см;-;дерево;с инкрустацией;-;3400;s647_
Кухня;Пенал кухонный;Бергамо;60×60×220 см;белый/дуб артизан;ЛДСП/МДФ;с микроволновой;-;21900;s648_
Спальня;Шкаф-купе;-;240×60×220 см;дуб сонома;ЛДСП/зеркало;3-дверный;-;4990;s649_
Кухня;Стул;Карина;-;орех;дерево/лак;деревянный, лак;-;2400;s650_
Гостиная;Диван секционный;Челси;350×180 см;серо-синий;шенилл/ЛДСП;угловой, 5 мест;-;94600;s651_
Прихожая;Ключница;Атриум;-;дуб сонома;ЛДСП/металл;настенная, с крючками и полкой;-;1700;s652_
Текстиль;Подушка декоративная;Камея;45×45 см;бордо;бархат;с кисточками;-;1500;s653_
Кухня;Стул-стремянка;-;-;-;металл/дерево;трансформер для кухни;-;3700;s654_
Гостиная;Кресло;Тоскана;-;бежевая;рогожка/бук;каминное, с ушами, ножки бук;-;21700;s655_
Гостиная;Кресло-качалка;Бабушка;-;-;ивовая лоза;классическое;-;14800;s656_
Ванная;Тумба под умывальник;Капри;100×45×60 см;дуб артизан/белый;ЛДСП/МДФ;с двумя ящиками;-;24400;s657_
Кухня;Кухонный уголок;Прага;-;коричневая;экокожа/ЛДСП;с ящиками;-;17900;s658_
Спальня;Кровать водяная;Океан;180×200 см;-;ЛДСП/экокожа;двуспальная, две зоны подогрева;премиум;94800;s659_
Спальня;Кровать;Прима;140×200 см;дуб сонома;ЛДСП;с ящиком, эконом;эконом;18900;s660_
Текстиль;Покрывало;Тоскана;220×240 см;песочный;лён/жаккард;жаккард;-;6200;s661_
Спальня;Шкаф;Милан;150×55×210 см;венге;ЛДСП;3-створчатый, распашной;-;33700;s662_
Текстиль;Плед;-;150×200 см;белый;эко-мех;меховой;-;2900;s663_
Прихожая;Зеркало напольное;Эра;60×180 см;-;бук бавария/стекло;классическое, резная рама;классика;17400;s664_
Детская;Комод;Малыш;80×40×80 см;пастельные тона;ЛДСП;детский, 3 ящика;детский;9700;s665_
Ванная;Тумба под раковину;Аква;80×45×80 см;дуб артизан/белый;ЛДСП/МДФ;напольная;-;15600;s666_
Спальня;Кровать;Аврора;200×200 см;пудровый;велюр/ЛДСП;мягкое изголовье капитоне;-;47200;s667_
Гостиная;Журнальный столик;Скандинав;110×55 см;-;массив дуба;овальная столешница;скандинавский;26800;s668_
Освещение;Люстра потолочная;Барселона;-;-;латунь/стекло;8 рожков, опаловое стекло;-;26900;s669_
Текстиль;Плед;Кокон;150×200 см;серый;микрофибра;-;-;1900;s670_
Кухня;Модуль верхний;-;80×30×72 см;белый матовый;ЛДСП/металл;сушка для посуды;-;7200;s671_
Декор;Картина модульная;-;150×60 см;-;холст/багет;5 частей, Закат над морем;-;5700;s672_
Гостиная;Кресло;-;-;пыльно-розовый;бархат/металл;с подушкой-валиком, серия Лайт;-;22400;s673_
Ванная;Тумба под раковину;-;80×45×55 см;белый/дерево;МДФ/дерево;с двумя ящиками, серия Стандарт;-;12400;s674_
Кабинет;Кресло офисное;Лофт;-;серая;ткань/металл;эконом;эконом;4800;s675_
Гостиная;Кресло Lounge;Орхидея;-;пудровый;бархат/латунь;полукруглое, ножки латунь;-;26400;s676_
Спальня;Кровать-бокс;Премьер;180×200 см;молочная;рогожка/ЛДСП;с двойным основанием;-;58700;s677_
Гостиница;Стол рабочий;-;120×60 см;дуб артизан;ЛДСП/металл;гостиничный, с ящиком и розеткой;гостиничный;12700;s678_
Гостиная;Стеллаж;Самара;80×35×190 см;ясень шимо тёмный;ЛДСП;6-ярусный;-;7900;s679_
Гостиная;Стол журнальный;Палермо;90×50×45 см;-;мрамор/бронза;прямоугольный, мрамор/металл;-;12900;s680_
Декор;Триптих;Модерн;3×40×60 см;-;холст/металл;абстракция, металлический багет;-;6300;s681_
Декор;Кашпо;Венеция;25×25×35 см;белое;керамика/металл;с подставкой металл;-;2800;s682_
Освещение;Светильник подвесной;Лофт;-;медь;металл;Эдисона, 3 плафона;лофт;6800;s683_
Гостиная;Стеллаж для книг;Конструктор;80×30×190 см;бук;дерево;секционный;-;7400;s684_
Гостиная;Банкетка;Тоскана;170×40×45 см;песочный;лён/бук;ножки бук натуральный;-;13400;s685_
Кухня;Шкаф верхний;Бергамо;60×30×72 см;белый матовый;ЛДСП/МДФ;сушка;-;6800;s686_
Гостиная;Банкетка;Орхидея;200×40×50 см;изумрудный;бархат/металл;ножки золото;-;19800;s687_
Спальня;Туалетный столик;Ариэль;100×40×140 см;чёрный матовый;МДФ/стекло/LED;с зеркалом и подсветкой LED;-;22800;s688_
Гостиная;Диван-канапе;Кушетка;180×80 см;пудровый;велюр/дерево;односпальный, ножки массив;-;26400;s689_
Спальня;Шкаф-купе;Берлин;240×60×220 см;дуб сонома;ЛДСП/зеркало;3-дверный, с зеркалом;-;47990;s690_
Гостиная;Шкаф книжный;Оксфорд;240×40×220 см;-;массив дуба;библиотечный;классика;124700;s691_
Гостиная;Шкаф-витрина;Камея;100×40×200 см;белый патина/золото;дерево/стекло;классика;классика;46700;s692_
Кабинет;Подставка под монитор;Бюрократ;-;чёрная;металл/ABS;регулируемая;-;1800;s693_
Декор;Подставка для цветов;Флоренция;-;белый;металл;настенная-полка, 4 кашпо;-;2700;s694_
Гостиная;Кресло-качалка;Глен;-;-;массив бука/ткань;с подушкой, классика, лак;классика;19800;s695_
Гостиная;Столик кофейный;Кокон;D60 см;-;велюр/ЛДСП;круглый, велюр-пуф основание;-;7200;s696_
Спальня;Кровать водяная;Атлантика;180×200 см;-;ЛДСП/экокожа;двуспальная, термостат, подушки-валики;премиум;96700;s697_
Кухня;Домашний бар;Тоскана;80×45×190 см;дуб артизан;ЛДСП/стекло/LED;шкаф-купе, подсветка LED;-;36900;s698_
Гостиная;Журнальный столик;-;80×50 см;дуб сонома;ЛДСП;-;-;5400;s699_
Текстиль;Подушка декоративная;Прага;45×45 см;беж;ткань;с вышивкой;-;1200;s700_
Гостиная;Шкаф книжный;Британика;320×40×240 см;-;массив бука;с лестницей, библиотечный;классика;187900;s701_
Спальня;Кровать;Стокгольм;90×200 см;дуб артизан;ЛДСП/дерево;односпальная, с ящиками;скандинавский;17800;s702_
Кухня;Пенал кухонный;Бергамо-Plus;60×60×220 см;белый/орех;ЛДСП/МДФ;с холодильником встраиваемым;-;67800;s703_
Кабинет;Стол письменный;Премиум;160×80 см;орех/латунь;дерево/металл;с тумбой 3 ящика;-;48700;s704_
Спальня;Шкаф;Турин;150×55×210 см;орех итальянский;ЛДСП;для одежды, 3-створчатый;-;38900;s705_
Спальня;Тумба прикроватная;Эра;50×40×60 см;орех;дерево/МДФ;классическая, с резьбой;классика;9700;s706_
Декор;Пирамида декоративная;Тоскана;15×15×40 см;-;дерево/латунь;набор 3 шт;-;2700;s707_
Декор;Картина модульная;Адриатика;3×50×70 см;-;холст/багет;Морской бриз;-;5400;s708_
Освещение;Светильник настольный;Хюгге;30 см;бежевая;керамика/ткань;с тканевым абажуром;-;1900;s709_
Декор;Скульптура;Аполлон;40 см;белый;искусственный мрамор;бюст;-;5700;s710_
Детская;Кровать;Орхидея;90×180 см;белая/золото;ЛДСП/ткань;детская, с балдахином и короной;детский;28400;s711_
Балкон;Стул складной;Веранда;-;антрацит;металл/текстилен;с подлокотниками;-;3200;s712_
Кухня;Барная стойка;Турин;200×40×105 см;дуб артизан/чёрный;ЛДСП/металл;прямая, с двумя полками;-;38900;s713_
Текстиль;Покрывало;Тоскана;220×240 см;песочный;лён;стёганое, евро;-;5800;s714_
Текстиль;Подушка декоративная;Скандинавия;40×40 см;-;хлопок;графический принт;-;990;s715_
Ванная;Шкаф-пенал;Лазурь;30×25×170 см;белый/дерево;МДФ;подвесной, реверсивные дверцы;-;9800;s716_
Освещение;Бра настенное;Прага;-;-;латунь/стекло;классическое, рожок;классика;3200;s717_
Текстиль;Подушка декоративная;Кокон;45×45 см;пыльно-розовый;велюр;-;-;1100;s718_
Балкон;Шкаф;Патио;80×40×190 см;дуб артизан;ЛДСП;для лоджии, с ящиками для инструмента;-;14800;s719_
Гостиная;Сервант;Палаццо;160×45×190 см;орех/золото;дерево/стекло;с подсветкой, гравированное стекло;классика;78400;s720_
Спальня;Кровать;Эрмитаж;180×200 см;-;массив дуба;с инкрустацией, ручная работа;премиум;1289000;s721_
Декор;Зеркало;Нарцисс;70×100 см;золочёный;дерево/стекло;art, неправильной формы, лепнина;классика;28700;s722_
Гостиная;Стеллаж модульный;Конструктор;-;белый;ЛДСП;6 кубов, горизонтально/вертикально;-;6400;s723_
Детская;Парта детская;Авангард;-;бук/розовый;дерево/металл;с пеналом и стулом;детский;14800;s724_
Спальня;Тумбочка прикроватная;Венеция;50×40×55 см;белый/золото;МДФ/дерево;классика;классика;7800;s725_
Детская;Балдахин;-;-;кремовый;тюль/металл;детский подвесной, с короной;детский;3900;s726_
Декор;Статуэтка;Флоренция;45×15×35 см;бронза;металл;лошадь;классика;5700;s727_
Спальня;Кровать;Виктория;140×200 см;шампань;велюр/ЛДСП;с мягким изголовьем-волной;-;33700;s728_
Гостиная;Сервант;Версаль;180×45×195 см;орех патина;дерево/стекло;с подсветкой, стекло с гравировкой;классика;79800;s729_
Гостиная;Кресло Lounge;Натура;-;-;массив дуба/кожа;классическое, с кожаной подушкой;классика;38700;s730_
Прихожая;Калошница;Прихожая;80×30×100 см;белый матовый;ЛДСП/МДФ;с откидной полкой;-;4700;s731_
Спальня;Шкаф-купе;Модерн;180×60×220 см;белый глянец;ЛДСП/зеркало;с зеркальной вставкой;-;39800;s732_
Ванная;Тумба под раковину;Полярная;60×45×60 см;белый глянец;МДФ;с одним ящиком;-;9700;s733_
Кухня;Полка винная;Венеция;-;-;латунь/металл;подвесная, с держателем бокалов;-;4700;s734_
Балкон;Стул складной;-;-;серый;текстилен/металл;с подлокотниками;-;3400;s735_
Гостиная;Журнальный столик;Конструктор;-;венге;ЛДСП/металл;трансформер;-;12300;s736_
Прихожая;Зеркало;Аделина;60×80 см;белая;МДФ/LED/дерево;с подсветкой LED;-;7400;s737_
Кухня;Модуль нижний;-;60×60 см;белый матовый;ЛДСП/фурнитура;с выдвижными ящиками, серия Стандарт;-;9800;s738_
Гостиная;Диван угловой;Стелла;-;карамель;рогожка/ЛДСП;с ящиком для белья;-;46700;s739_
Гостиная;Сервант;Флоренция;200×45×220 см;патина золото;дерево/стекло/LED;с подсветкой LED и баром;классика;124700;s740_
Декор;Постер интерьерный;Минимализм;50×70 см;-;бумага/дерево;геометрия, рама белая;-;1700;s741_
Освещение;Бра настенное;Тюльпан;-;-;латунь/LED;LED, гибкий рожок;-;3600;s742_
Спальня;Кровать;Меридиан;160×200 см;ясень шимо/белый матовый;ЛДСП/дерево;с тумбами в изголовье;-;39800;s743_
Кабинет;Лампа на струбцине;Лофт;-;чёрный;металл;офисная;лофт;2400;s744_
Текстиль;Плед двусторонний;-;150×200 см;графит/молочный;микрофибра/искусственный мех;-;-;3400;s745_
Гостиная;Витрина;Корсика;100×40×220 см;чёрный глянец;ЛДСП/стекло/зеркало;с подсветкой и зеркальной задней стенкой;-;72800;s746_
Спальня;Кровать-бокс;Альфа;160×200 см;карамель;рогожка/ЛДСП;с боковыми ящиками;-;48900;s747_
Гостиная;Стеллаж напольный;-;70×35×140 см;-;металл/дуб;4 уровня;-;5700;s748_
Текстиль;Подушка декоративная;Премиум;50×50 см;-;бархат/нить;с золотой вышивкой;-;47000;s749_
Спальня;Кровать-татами;Окинава;180×200 см;дуб артизан;дерево/ЛДСП;с встроенными тумбами;-;48400;s750_
Детская;Люстра;Кокон;-;белый;пластик/LED;в детскую, облако с подсветкой;детский;4200;s751_
Гостиная;Диван-канапе;Орхидея;2-местный;-;гобелен/дерево;антикварный, флористика, резные ножки;классика;58700;s752_
Гостиная;Кресло-мешок;Биг;XL;серая;ткань;-;-;3700;s753_
Кухня;Барная стойка;Палермо;180×180×110 см;белый глянец/орех;ЛДСП/МДФ/стекло;угловая, с винным шкафом;-;94800;s754_
Гостиная;Журнальный столик;Прованс;80×50 см;белый состаренный;дерево/МДФ;классика;классика;14400;s755_
